VENDOR NAME,EXPENSE CATEGORY,PAYMENT AMOUNT,PAYMENT DATE
"*ABC HUMANE WILDLIFE CONTROL & PREVENTION, INC.",MAINTENANCE & REPAIRS,3937.5,12/15/22
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,699895.22,12/22/22
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,45077.5,11/17/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,26902.04,4/28/22
G & O THERMAL SUPPLY COMPANY,DIRECT PURCHASES,5875.36,2/23/22
"JACKSON MARKING PRODUCTS CO., INC.",GENERAL EXPENSES,19.46,8/16/22
JASON MAGNANI M.D.,ADMINISTRATION & HR,750,9/1/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,6446.29,4/14/22
"SAFETY KLEEN SYSTEMS, INC.",MAINTENANCE & REPAIRS,7846.64,9/15/22
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,600.45,3/22/22
"Atalian US Midwest, LLC",MAINTENANCE & REPAIRS,47118.08,1/27/22
ASTM INTERNATIONAL,GENERAL EXPENSES,21218,2/3/22
Michael Best Strategies,CONTRACTUAL SERVICES,6000,3/3/22
"*BOYE JANITORIAL SERVICE, INC.",CONTRACTUAL SERVICES,15829.63,4/19/22
"IMPERIAL CRANE SERVICES, INC.",EQUIPMENT RENTAL,7599,3/22/22
TerraCycle Regulated Waste,MAINTENANCE & REPAIRS,490,5/5/22
"COLONIAL OIL INDUSTRIES, INC.",DIRECT PURCHASES,37533.93,3/3/22
"WISCO, INC.",MAINTENANCE & REPAIRS,338.1,11/8/22
BONFIRE INTERACTIVE LTD,TECHNOLOGY SERVICES,17500,10/6/22
"NAC GROUP, INC.",DIRECT PURCHASES,299.88,9/29/22
"WISS, JANNEY, ELSTNER  ASSOCIATES, INC.",CONSULTING,10000,4/21/22
METRA,EQUIPMENT RENTAL,25,7/14/22
The Chicago Mosaic School,CONTRACTUAL SERVICES,5850,9/29/22
CINTAS CORPORATION,MAINTENANCE & REPAIRS,1292.72,9/29/22
CITY OF CHICAGO-DEPT OF WATER,UTILITIES EXPENSE,139949.53,9/27/22
GENUINE PARTS COMPANY (NAPA),CONTRACTUAL SERVICES,10871.15,12/20/22
ORR SAFETY CORPORATION,MAINTENANCE & REPAIRS,6279.59,5/19/22
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,1393.3,1/13/22
AMERICAN TOWERS LLC,EQUIPMENT RENTAL,9394.8,3/3/22
BRE RIVER NORTH POINT OWNER LLC,FACILITY RENTAL,77.9,4/26/22
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,20665.94,9/6/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,593.67,10/11/22
PEOPLES GAS,UTILITIES EXPENSE,99838.1,3/8/22
"GUARDIAN INDUSTRIAL SUPPLY, LLC",DIRECT PURCHASES,1295.97,7/14/22
"SUN TRAVEL, INC.",TRAVEL & MEETING EXPENSE,189,12/29/22
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,1814.55,10/6/22
"CUBIC TRANSPORTATION SYSTEMS, INC.",CONTRACTUAL SERVICES,1508291.42,3/17/22
AVONDALE INVESTORS LLC,FACILITY RENTAL,25500,3/1/22
"JONES LANG LaSALLE, INCORPORATED",CONSULTING,49724.1,11/29/22
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,50,11/17/22
CANADIAN URBAN TRANSIT ASSOC.,TRAVEL & MEETING EXPENSE,11550,7/29/22
*CHICAGO PESTS LLC,MAINTENANCE & REPAIRS,176,7/14/22
EQUIP FOR EQUALITY INC.,GENERAL EXPENSES,10000,5/5/22
KONE SPARES,DIRECT PURCHASES,15530.19,2/17/22
"MCCORKLE LITIGATION SERVICES, INC",GENERAL EXPENSES,1168.85,11/15/22
"*ZANN & Associates, Inc.",CONSULTING,60167.3,12/13/22
PLANET DEPOS LLC,LEGAL COSTS,2680,10/17/22
"OER SERVICES, LLC",MAINTENANCE & REPAIRS,4078.56,12/8/22
FUSION ENGINEERING LLC,LEGAL COSTS,9884,3/31/22
LORCHEM TECHNOLOGIES INC,MAINTENANCE & REPAIRS,2524.49,3/3/22
*MOBILE HEALTH & TESTING SERVICES,ADMINISTRATION & HR,53184.58,3/31/22
GENUINE PARTS COMPANY (NAPA),CONTRACTUAL SERVICES,752.85,10/20/22
"*VEI SOLUTIONS, INC.",MAINTENANCE & REPAIRS,706.35,2/8/22
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,1370,4/21/22
"OER SERVICES, LLC",CONTRACTUAL SERVICES,9104,11/25/22
EVANSTON POLICE DEPARTMENT/CITY OF EVANSTON,PURCHASE OF SECURITY SERVICES,18983.83,2/10/22
"CONCARE, INC.",MAINTENANCE & REPAIRS,24977.76,6/30/22
"RAILROAD MANAGEMENT COMPANY III, LLC",EQUIPMENT RENTAL,313.34,1/20/22
CHICAGO POLICE DEPARTMENT,PURCHASE OF SECURITY SERVICES,708256.46,6/14/22
"COMET MESSENGER SERVICE, INC.",GENERAL EXPENSES,82.99,9/8/22
"CROWE, LLP",FINANCIAL & TREAS SVCS,60000,7/7/22
SDI PRESENCE LLC,TECHNOLOGY SERVICES,431292.29,12/29/22
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,80,3/10/22
BRE RIVER NORTH POINT OWNER LLC,FACILITY RENTAL,59265.61,7/7/22
Konecranes,MAINTENANCE & REPAIRS,32884.73,5/26/22
"DATA WEIGHING SYSTEMS, INC.",MAINTENANCE & REPAIRS,340,7/21/22
VILLAGE OF SKOKIE.,UTILITIES EXPENSE,274.95,6/2/22
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,19592.2,5/26/22
JAMES DOYLE,OTHER LABOR,56000,4/14/22
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,3147.3,11/3/22
"AMAZON WEB SERVICES, INC.",CONTRACTUAL SERVICES,1938.87,6/30/22
"WISCO, INC.",MAINTENANCE & REPAIRS,1862.36,8/16/22
GRANT LAW LLC,LEGAL COSTS,1604,3/8/22
CHICAGO TRIBUNE CO.,ADVERTISING & PROMOTION,520.71,10/27/22
"*PF APPRAISALS, INC. dba PRAEDIUM VALUATION GROUP, INC.",LEGAL COSTS,2950,8/25/22
CUMMINS INC.,MAINTENANCE & REPAIRS,213.78,2/10/22
ANDERSON ELEVATOR CO.,MAINTENANCE & REPAIRS,412728.1,5/3/22
ZUBER LAWLER LLP,LEGAL COSTS,3621.05,2/22/22
"TVEYES, INC.",CONTRACTUAL SERVICES,3420,7/29/22
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,80,2/24/22
"THE MCS GROUP, INC.",ADMINISTRATION & HR,4830.76,9/29/22
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,5622.56,12/6/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,11539.37,12/13/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,6753.5,1/3/22
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,310,3/31/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,2172.99,6/7/22
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,28053.96,9/22/22
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,513,8/25/22
"THE MCS GROUP, INC.",ADMINISTRATION & HR,3198.27,8/18/22
"ACTION K-9 SECURITY, INC.",PURCHASE OF SECURITY SERVICES,1253026,12/15/22
Carahsoft Technology Corporation,ADVERTISING & PROMOTION,14533.79,7/8/22
"Christopher Glass Services, Inc",MAINTENANCE & REPAIRS,17063.31,7/7/22
HENNEPIN HEALTHCARE SYSTEM INC,ADMINISTRATION & HR,250,2/17/22
"WISCO, INC.",DIRECT PURCHASES,585.36,11/3/22
SECRETARY OF STATE.........,LEGAL COSTS,10,7/21/22
MICHAEL LONG,LEGAL COSTS,75,12/1/22
"COMET MESSENGER SERVICE, INC.",CONTRACTUAL SERVICES,32.5,6/16/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,921.98,1/19/22
"*PRODUCTION DISTRIBUTION COMPANIES, INC.",DIRECT PURCHASES,8899.28,1/13/22
"*ANDERSON & SHAH ROOFING, INC.",MAINTENANCE & REPAIRS,31622.58,5/19/22
DAVID WISE,CONTRACTUAL SERVICES,13440,12/1/22
DAVID W ROBERTS,ADMINISTRATION & HR,750,2/10/22
"CHICAGO UNITED INDUSTRIES, LTD.",EQUIPMENT RENTAL,1453.46,7/19/22
"MYERS SERVICE, INC.",LEGAL COSTS,184,11/3/22
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,50,11/17/22
CLAREMONT LLC,CONTRACTUAL SERVICES,1295,12/22/22
"GARDA CL GREAT LAKES, INC.",FINANCIAL & TREAS SVCS,17787,10/27/22
"AMAZON WEB SERVICES, INC.",CONTRACTUAL SERVICES,2876,11/15/22
"OCCUPATIONAL HEALTH CENTERS OF THE SOUTHWEST, PA. d/b/a CONCENTRA MEDICAL CENTERS",ADMINISTRATION & HR,22845,4/19/22
PNC BANK,TRAVEL & MEETING EXPENSE,279.04,3/18/22
LESTER & ROSALIE ANIXTER CENTER,GENERAL EXPENSES,592,8/25/22
TODD REMINGTON MD,ADMINISTRATION & HR,750,10/27/22
CLAREMONT LLC,CONTRACTUAL SERVICES,1847.1,8/25/22
"*DatamanUSA, LLC",GENERAL EXPENSES,592,8/25/22
"STANTON MECHANICAL, INC.",MAINTENANCE & REPAIRS,31479.5,10/6/22
ASSOCIATION FOR TALENT DEVELOPMENT,GENERAL EXPENSES,2454,9/1/22
"MONTERREY SECURITY CONSULTANT, INC.",PURCHASE OF SECURITY SERVICES,321560.35,8/25/22
TRADEBE TREATMENT & RECYCLING LLC,MAINTENANCE & REPAIRS,1494.32,11/10/22
ANCEL GLINK P.C.,LEGAL COSTS,26055,2/24/22
XEROX CORPORATION /XEROX CTR,MAINTENANCE & REPAIRS,36906.77,8/25/22
"JONES LANG LaSALLE, INCORPORATED",MAINTENANCE & REPAIRS,402363.19,7/26/22
AMERICAN INSURANCE SERVICES GROUP,CONTRACTUAL SERVICES,33.9,2/24/22
CITY OF CHICAGO-DEPT OF WATER,UTILITIES EXPENSE,59911.58,6/14/22
"*ANCHOR STAFFING, INC.",TECHNOLOGY SERVICES,7311.04,8/30/22
VCLOUD TECH INC.,MAINTENANCE & REPAIRS,15420.87,8/11/22
"HIRERIGHT SOLUTIONS, INC.",ADMINISTRATION & HR,4830.75,7/21/22
"MONTERREY SECURITY CONSULTANT, INC.",PURCHASE OF SECURITY SERVICES,348308.86,2/17/22
MP2 ENERGY NE LLC,UTILITIES EXPENSE,285761.59,8/4/22
ANDERSON ELEVATOR CO.,MAINTENANCE & REPAIRS,407358.5,6/2/22
"CLEVER DEVICES, LTD",MAINTENANCE & REPAIRS,421837.66,12/15/22
SPECTRIO,CONTRACTUAL SERVICES,1690.56,9/15/22
"STANTON MECHANICAL, INC.",MAINTENANCE & REPAIRS,30250,4/14/22
VILLAGE OF OAK PARK -1,PURCHASE OF SECURITY SERVICES,19938.66,6/9/22
"T-MOBILE USA, INC.",UTILITIES EXPENSE,20205.65,12/13/22
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,344.05,3/31/22
PACER SERVICE CENTER,GENERAL EXPENSES,357.6,10/18/22
89TH ST PROPERTIES LLC,FACILITY RENTAL,27968.92,1/27/22
UNITEC PARTS CO.,DIRECT PURCHASES,4105.47,2/17/22
Vincent R Williams & Associates P.C.,CONTRACTUAL SERVICES,6000,3/10/22
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,80,2/17/22
XEROX CORPORATION /XEROX CTR,MAINTENANCE & REPAIRS,10599.34,3/3/22
"THE MCS GROUP, INC.",ADMINISTRATION & HR,63.12,11/17/22
PEOPLES GAS,UTILITIES EXPENSE,30094.88,4/26/22
"CANON BUSINESS SOLUTIONS, INC.",MAINTENANCE & REPAIRS,11469.37,12/15/22
"CLEVER DEVICES, LTD",MAINTENANCE & REPAIRS,422037.65,11/10/22
"OER SERVICES, LLC",DIRECT PURCHASES,217.14,2/8/22
COMMONWEALTH EDISON.,UTILITIES EXPENSE,417389.87,5/5/22
"SAF-T-GARD INTERNATIONAL, INC.",CONTRACTUAL SERVICES,2313.25,12/29/22
"*ALVAREZ, INC.",CONTRACTUAL SERVICES,57396.5,11/22/22
"OER SERVICES, LLC",EQUIPMENT RENTAL,900,1/19/22
VILLAGE OF OAK PARK -1,PURCHASE OF SECURITY SERVICES,25313.41,5/12/22
"ZIPCAR, INC.",EQUIPMENT RENTAL,359.27,11/29/22
VINI KALRA M.D.,ADMINISTRATION & HR,87.5,12/15/22
PEOPLES GAS,UTILITIES EXPENSE,98356.85,3/1/22
VILLAGE OF FOREST PARK.,LEGAL COSTS,5,10/27/22
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,1012.75,7/28/22
MARK R HUTCHINSON MD,ADMINISTRATION & HR,5600,1/13/22
GENUINE PARTS COMPANY (NAPA),CONSULTING,149054,9/1/22
EVANSTON POLICE DEPARTMENT/CITY OF EVANSTON,LEGAL COSTS,10,6/30/22
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,CONTRACTUAL SERVICES,28240.49,9/8/22
NAESA INT'l,TRAVEL & MEETING EXPENSE,3240,8/18/22
ROBERT A BAADE PHD,ADMINISTRATION & HR,300,7/21/22
TRADEBE TREATMENT & RECYCLING LLC,MAINTENANCE & REPAIRS,4808.7,11/17/22
SERVICE SANITATION INC,MAINTENANCE & REPAIRS,23332,12/29/22
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,41006.82,10/17/22
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,35526.5,4/12/22
COOK COUNTY GOVERNMENT,ADMINISTRATION & HR,350,10/20/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,12740.77,11/25/22
"STANTON MECHANICAL, INC.",MAINTENANCE & REPAIRS,22600.74,1/27/22
"SAFETY KLEEN SYSTEMS, INC.",MAINTENANCE & REPAIRS,19240.16,9/29/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,12900.63,1/5/22
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,12983.2,4/28/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,3311.18,8/23/22
"MARCO SUPPLY CO., INC.",DIRECT PURCHASES,24936.26,12/1/22
LAUREN J  GLEASON M.D.,ADMINISTRATION & HR,750,7/29/22
"IMPERIAL CRANE SERVICES, INC.",EQUIPMENT RENTAL,4750,7/12/22
LEXITAS,LEGAL COSTS,907.78,12/1/22
"AMERICAN BUILDING SERVICES, LLC (M-D BUILDING MATERIALS)",DIRECT PURCHASES,14320.24,4/12/22
"THE MCS GROUP, INC.",ADMINISTRATION & HR,4100.46,4/28/22
BROTHERS & THOMPSON P.C.,LEGAL COSTS,4188,12/15/22
GENUINE PARTS COMPANY (NAPA),CONTRACTUAL SERVICES,846.54,1/5/22
JACKSON LEWIS PC,LEGAL COSTS,4340,2/3/22
"WISCO, INC.",DIRECT PURCHASES,700.15,8/18/22
"Atalian US Midwest, LLC",MAINTENANCE & REPAIRS,47118.08,2/17/22
"AMERICAN BUILDING SERVICES, LLC (M-D BUILDING MATERIALS)",DIRECT PURCHASES,10716.84,12/20/22
"Atalian US Midwest, LLC",MAINTENANCE & REPAIRS,47118.08,8/4/22
"LANER, MUCHIN, DOMBROW, BECKER,",LEGAL COSTS,1100,9/27/22
FORESIGHT RECONSTRUCTION INC,LEGAL COSTS,16726.25,11/10/22
CHICAGO TRANSIT AUTHORITY,DIRECT PURCHASES,34395,3/10/22
"RADICOM, INC.",MAINTENANCE & REPAIRS,4375,12/6/22
CITY OF CHICAGO-DEPT OF WATER,FACILITY RENTAL,332.98,6/16/22
"OER SERVICES, LLC",MAINTENANCE & REPAIRS,454,6/30/22
"LUMINATOR TECHNOLOGY GROUP, INC.",FINANCIAL & TREAS SVCS,84281.64,5/12/22
*CHICAGO PESTS LLC,MAINTENANCE & REPAIRS,352,9/8/22
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,4102.7,3/10/22
"OER SERVICES, LLC",EQUIPMENT RENTAL,850.9,11/10/22
CINTAS CORPORATION,DIRECT PURCHASES,95.54,4/28/22
"JONES LANG LaSALLE, INCORPORATED",MAINTENANCE & REPAIRS,88714.03,10/17/22
NIKKI HALE CONSULTING INC,CONTRACTUAL SERVICES,550,12/15/22
BLAIDA AND ASSOCIATES LLC,CONTRACTUAL SERVICES,6000,10/25/22
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,1907.79,2/24/22
"MCCORKLE LITIGATION SERVICES, INC",GENERAL EXPENSES,507.05,3/10/22
"*MACK CONSTRUCTION SERVICES, LLC",MAINTENANCE & REPAIRS,44095.12,6/9/22
SURVEYMONKEY INC.,CONSULTING,2700,2/3/22
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,50,9/29/22
*CityEscape Garden & Design,MAINTENANCE & REPAIRS,1717.19,8/25/22
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,1084.14,6/16/22
"OER SERVICES, LLC",MAINTENANCE & REPAIRS,724.58,8/18/22
"INTERSTATE POWER SYSTEMS, INC.",MAINTENANCE & REPAIRS,609.77,6/30/22
HI-TEK ENVIRONMENTAL- d/b/a STAT,CONTRACTUAL SERVICES,90,8/18/22
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,988.95,7/7/22
*CityEscape Garden & Design,MAINTENANCE & REPAIRS,3108,11/10/22
FOX VALLEY FIRE & SAFETY COMPANY,MAINTENANCE & REPAIRS,3500,5/12/22
"ATOMATIC MECHANICAL SERVICES, INC, d/b/a CONTROL ENGINEERING CORP.",MAINTENANCE & REPAIRS,5391,9/29/22
Michael Best Strategies,CONTRACTUAL SERVICES,12000,3/24/22
"JONES ENVIRONMENTAL CONTROL, INC.",MAINTENANCE & REPAIRS,22276.9,11/8/22
"HIRERIGHT SOLUTIONS, INC.",ADMINISTRATION & HR,3051,6/9/22
CDW GOVERNMENT LLC,DIRECT PURCHASES,41228.6,7/28/22
UNITEC PARTS CO.,DIRECT PURCHASES,4137.5,1/13/22
STENSTROM PROTANIC LLC.,MAINTENANCE & REPAIRS,1500,2/10/22
JOHNSON PIPE & SUPPLY CO.,DIRECT PURCHASES,1329.54,5/26/22
"WEST PUBLISHING CORPORATION d/b/a THOMSON WEST, WEST GROUP OR WEST",FINANCIAL & TREAS SVCS,8559.24,5/26/22
CUMMINS INC.,MAINTENANCE & REPAIRS,305.4,11/25/22
ROBERT A BAADE PHD,ADMINISTRATION & HR,3835,7/21/22
CHICAGO SUN TIMES MEDIA INC,ADVERTISING & PROMOTION,1130,10/20/22
"INSPE ASSOCIATES,LTD.",ADMINISTRATION & HR,7350,12/1/22
AMERICAN INSURANCE SERVICES GROUP,CONTRACTUAL SERVICES,79.1,10/27/22
LINDSAY PURNELL M.D.,ADMINISTRATION & HR,700,9/1/22
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,40,12/1/22
CUMMINS INC.,MAINTENANCE & REPAIRS,213.78,6/14/22
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,1761.02,2/10/22
JOHNSON CONTROLS FIRE PROTECTION LP,MAINTENANCE & REPAIRS,15839.76,3/24/22
UNION PACIFIC RAILROAD COMPANY,FACILITY RENTAL,105000,9/22/22
CITY OF BURBANK,GENERAL EXPENSES,100,3/3/22
WHEEL RAIL SEMINARS,TRAVEL & MEETING EXPENSE,765,6/30/22
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,75652.19,9/27/22
"THE MCS GROUP, INC.",ADMINISTRATION & HR,746.6,4/7/22
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,1460.5,3/22/22
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,22446.85,6/2/22
"Atalian US Midwest, LLC",MAINTENANCE & REPAIRS,47118.08,4/7/22
AMALGAMATED BANK OF CHICAGO,FINANCIAL & TREAS SVCS,1741.31,4/7/22
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,245,3/3/22
VTECH SOLUTION INC,GENERAL EXPENSES,8300,6/16/22
"HERITAGE-CRYSTAL CLEAN, LLC",DIRECT PURCHASES,9056.55,11/25/22
CITY  OF HOMETOWN,GENERAL EXPENSES,400,3/3/22
"*GALAXY ENVIRONMENTAL, INC.",MAINTENANCE & REPAIRS,102327.39,8/16/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,815.5,5/17/22
"WEST PUBLISHING CORPORATION d/b/a THOMSON WEST, WEST GROUP OR WEST",FINANCIAL & TREAS SVCS,8691.38,12/8/22
GENUINE PARTS COMPANY (NAPA),CONSULTING,149054,10/6/22
"ZF SERVICES NORTH AMERICA, LLC",MATERIAL LOAD/ADJ,91,11/29/22
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,50,11/17/22
*CHICAGO PESTS LLC,MAINTENANCE & REPAIRS,176,4/14/22
RELIABLE FIRE EQUIPMENT CO,MAINTENANCE & REPAIRS,12399.04,8/24/22
EVAN HEAN TSAN NG,ADMINISTRATION & HR,500,4/7/22
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,2771.5,5/12/22
SUN-TIMES MEDIA,GENERAL EXPENSES,120,3/24/22
METROPOLITAN WATER RECLAMATION.,UTILITIES EXPENSE,95.55,9/29/22
"108 NORTH STATE ST. (CHICAGO) OWNER,LLC",FACILITY RENTAL,28800,4/7/22
VILLAGE OF FOREST PARK (WATER ACCOUNT),UTILITIES EXPENSE,2738.35,3/3/22
YOURMEMBERSHIP.COM INC,ADVERTISING & PROMOTION,325,8/11/22
LORCHEM TECHNOLOGIES INC,MAINTENANCE & REPAIRS,757.09,2/24/22
ARMA INTERNATIONAL,GENERAL EXPENSES,225,1/27/22
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,60,8/18/22
PEOPLES GAS,UTILITIES EXPENSE,36792.4,11/29/22
"*MACK CONSTRUCTION SERVICES, LLC",MAINTENANCE & REPAIRS,68157.4,8/25/22
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,28292.56,4/28/22
CINTAS CORPORATION,DIRECT PURCHASES,28.9,8/2/22
COMPUTER AID INC,TECHNOLOGY SERVICES,670981.11,6/30/22
LINKEDIN CORPORATION,ADVERTISING & PROMOTION,29367.14,1/13/22
CITY OF HOMETOWN,GENERAL EXPENSES,100,1/13/22
COMPUTER AID INC,TECHNOLOGY SERVICES,30280.32,12/22/22
AN EXECUTIVE DECISION,ADVERTISING & PROMOTION,1128.65,11/3/22
CITY OF CHICAGO-DEPT OF FLEET AND FACILITY  MGMT,DIRECT PURCHASES,15476.61,1/13/22
"CANON BUSINESS SOLUTIONS, INC.",MAINTENANCE & REPAIRS,5121.98,2/9/22
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,CONTRACTUAL SERVICES,51896.41,2/24/22
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,80,7/29/22
"CONSTELLATION NEW ENERGY GAS DIVISION, LLC",UTILITIES EXPENSE,21102.79,5/26/22
XEROX CORPORATION /XEROX CTR,MAINTENANCE & REPAIRS,10576.31,3/31/22
"OER SERVICES, LLC",EQUIPMENT RENTAL,7454,2/17/22
"RMS SOLUTIONS, INC.",CONSULTING,3750,3/17/22
Konecranes,MAINTENANCE & REPAIRS,5723.96,3/31/22
UNITEC PARTS CO.,DIRECT PURCHASES,4354.8,7/7/22
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,513,9/1/22
"CLEVER DEVICES, LTD",MAINTENANCE & REPAIRS,422037.65,4/14/22
"Christopher Glass Services, Inc",MAINTENANCE & REPAIRS,3505.26,12/27/22
CITY OF CHICAGO-DEPT OF WATER,UTILITIES EXPENSE,464.21,9/20/22
LESTER & ROSALIE ANIXTER CENTER,GENERAL EXPENSES,827,4/21/22
"*BOYE JANITORIAL SERVICE, INC.",CONTRACTUAL SERVICES,6636,7/12/22
EVANSTON POLICE DEPARTMENT/CITY OF EVANSTON,PURCHASE OF SECURITY SERVICES,18971.15,4/7/22
"U.S. LEGAL SUPPORT, INCORPORATED",LEGAL COSTS,259.5,1/20/22
VILLAGE OF FOREST PARK (WATER ACCOUNT),UTILITIES EXPENSE,5560.02,8/18/22
TOWN OF CICERO,UTILITIES EXPENSE,725.62,5/26/22
CENTER OF BRAIN AND SPINE SURGERY,ADMINISTRATION & HR,20000,11/17/22
PITNEY BOWES GLOBAL MAILING SYSTEMS,CONTRACTUAL SERVICES,4663.64,9/22/22
"MARK ANDY, INC.",MAINTENANCE & REPAIRS,90.8,1/13/22
JACKSON LEWIS PC,LEGAL COSTS,364,5/17/22
BRE RIVER NORTH POINT OWNER LLC,FACILITY RENTAL,59265.61,4/19/22
"VULCAN CONSTRUCTION MATERIALS, LLC",DIRECT PURCHASES,5988.02,8/23/22
"ILLINOIS BONE & JOINT INSTITUTE, LLC",ADMINISTRATION & HR,187.5,12/1/22
EVERGREEN PARK RED LIGHT,GENERAL EXPENSES,100,6/30/22
BROTHERS & THOMPSON P.C.,LEGAL COSTS,308,9/1/22
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,80,8/4/22
JAMES DWORKIN,LEGAL COSTS,375,2/10/22
VILLAGE OF FOREST PARK (WATER ACCOUNT),UTILITIES EXPENSE,2885.84,3/17/22
"ENGINEERED PLASTICS, INC.",DIRECT PURCHASES,12555,10/25/22
CUMMINS INC.,MAINTENANCE & REPAIRS,213.78,6/16/22
"HIRERIGHT SOLUTIONS, INC.",ADMINISTRATION & HR,4476.75,3/3/22
"STANTON MECHANICAL, INC.",MAINTENANCE & REPAIRS,1048,9/15/22
COOK COUNTY SHERIFF DEPARTMENT,MAINTENANCE & REPAIRS,40756.99,12/15/22
"OER SERVICES, LLC",MAINTENANCE & REPAIRS,1596,12/1/22
"SAFETY KLEEN SYSTEMS, INC.",MAINTENANCE & REPAIRS,24211.79,2/8/22
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,36832,8/30/22
MURRAY & TRETTEL INC,GENERAL EXPENSES,416.25,3/24/22
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,21606.07,5/3/22
TRADEBE TREATMENT & RECYCLING LLC,MAINTENANCE & REPAIRS,11532,4/14/22
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,2473.63,7/26/22
"CUBIC TRANSPORTATION SYSTEMS, INC.",DIRECT PURCHASES,163762.86,4/26/22
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,116758.51,3/15/22
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,3037.13,11/22/22
CUMMINS INC.,DIRECT PURCHASES,29703.15,10/25/22
JOHNSON PIPE & SUPPLY CO.,DIRECT PURCHASES,2573,3/31/22
"ALLIED WASTE TRANSPORTATION, INC. d/b/a REPUBLIC SERVICES OF CHICAGO",MAINTENANCE & REPAIRS,82724.39,1/27/22
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,16446.04,7/29/22
