VENDOR NAME,EXPENSE CATEGORY,PAYMENT AMOUNT,PAYMENT DATE
TAB SERVICE COMPANY,GENERAL EXPENSES,1943.26,8/17/2023
PNC BANK,TECHNOLOGY SERVICES,999.00,7/17/2023
"OCCUPATIONAL HEALTH CENTERS OF ILLINOIS, P.C.",ADMINISTRATION & HR,37171.00,9/5/2023
AURIGA CORPORATION,CONSULTING,27475.25,8/31/2023
"AMAZON WEB SERVICES, INC.",CONTRACTUAL SERVICES,2006.96,9/28/2023
"LAW BULLETIN PUBLISHING CO, INC.",FINANCIAL & TREAS SVCS,6250.00,9/13/2023
CHICAGO POLICE DEPARTMENT  (1),PURCHASE OF SECURITY SERVICES,25.00,10/12/2023
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,31643.06,10/26/2023
*SOUTH SUBURBAN PEST CONTROL,MAINTENANCE & REPAIRS,9227.00,12/12/2023
"JONES LANG LaSALLE, INCORPORATED",MAINTENANCE & REPAIRS,7939.37,11/24/2023
"SUN TRAVEL, INC.",TRAVEL & MEETING EXPENSE,464.00,3/30/2023
AT & T CORP,CONTRACTUAL SERVICES,127478.33,3/28/2023
CDW GOVERNMENT LLC,DIRECT PURCHASES,281.00,6/6/2023
"OVERTURE, LLC",ADVERTISING & PROMOTION,1822.55,10/17/2023
HOLISTIC SOLUTIONS LLC,CONTRACTUAL SERVICES,53831.43,7/27/2023
"DELIVRA, INC",TECHNOLOGY SERVICES,1041.00,10/19/2023
"JONES ENVIRONMENTAL CONTROL, INC.",MAINTENANCE & REPAIRS,11781.00,1/17/2023
"H-O-H-WATER TECHNOLOGY, INC.",MAINTENANCE & REPAIRS,4694.40,2/13/2023
"OER SERVICES, LLC",MAINTENANCE & REPAIRS,454.00,2/16/2023
"*BOYE JANITORIAL SERVICE, INC.",CONTRACTUAL SERVICES,2786.49,3/7/2023
CLAREMONT LLC,CONTRACTUAL SERVICES,2606.15,3/30/2023
KONE SPARES,DIRECT PURCHASES,6360.36,5/4/2023
CHICAGOLAND INVESTIGATIVE SERVICES,LEGAL COSTS,3000.00,5/25/2023
5366 LOGISTICS CORP,DIRECT PURCHASES,3909.07,9/5/2023
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,50.00,9/14/2023
"FBS GROUP, INC.",MAINTENANCE & REPAIRS,23883.50,10/19/2023
"WISCO, INC.",MAINTENANCE & REPAIRS,517.06,1/3/2023
VILLAGE OF FOREST PARK (WATER ACCOUNT),UTILITIES EXPENSE,4447.14,2/9/2023
XEROX CORPORATION /XEROX CTR,MAINTENANCE & REPAIRS,37023.51,3/2/2023
DUSABLE MUSEUM,GENERAL EXPENSES,1000.00,2/16/2023
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,CONTRACTUAL SERVICES,44017.71,3/30/2023
BENTLEY SYSTEMS INC,TECHNOLOGY SERVICES,5931.40,5/25/2023
JACKSON LEWIS PC,LEGAL COSTS,308.00,7/3/2023
"LUMINATOR TECHNOLOGY GROUP GLOBAL, LLC dba LUMINATOR TECHNOLOGY GROUP",MAINTENANCE & REPAIRS,15750.00,3/21/2023
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,40.00,5/4/2023
"HIRERIGHT SOLUTIONS, INC.",ADMINISTRATION & HR,26279.10,9/28/2023
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,270.00,10/19/2023
GENUINE PARTS COMPANY (NAPA),CONSULTING,152886.00,12/7/2023
"WEST PUBLISHING CORPORATION d/b/a THOMSON WEST, WEST GROUP OR WEST",GENERAL EXPENSES,1357.40,2/2/2023
LATHROP GAGE LLP,LEGAL COSTS,58.50,3/23/2023
SKOKIE POLICE DEPARTMENT,LEGAL COSTS,5.00,6/8/2023
VILLAGE OF OAK PARK -1,PURCHASE OF SECURITY SERVICES,11845.05,8/29/2023
CORPORATE CONCEPTS INC,DIRECT PURCHASES,2219.76,8/31/2023
"SNOW SYSTEMS, INC",MAINTENANCE & REPAIRS,118670.00,2/15/2023
COMMONWEALTH EDISON.,UTILITIES EXPENSE,54.81,2/21/2023
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,649044.34,3/16/2023
*MOORE SECURITY INC.,PURCHASE OF SECURITY SERVICES,19630.28,3/23/2023
"WISCO, INC.",MAINTENANCE & REPAIRS,5692.03,8/15/2023
"THE MCS GROUP, INC.",ADMINISTRATION & HR,4899.18,5/11/2023
"ZIPCAR, INC.",EQUIPMENT RENTAL,1599.37,5/9/2023
CHICAGO POLICE DEPARTMENT,PURCHASE OF SECURITY SERVICES,2814612.41,5/30/2023
PNC BANK,TRAVEL & MEETING EXPENSE,4928.87,5/16/2023
"D.M.G. SECURITY, INC.",FINANCIAL & TREAS SVCS,29262.48,7/3/2023
*Freddies Inc,GENERAL EXPENSES,536.25,7/27/2023
GENUINE PARTS COMPANY (NAPA),MAINTENANCE & REPAIRS,586.23,8/1/2023
CDM SMITH INC.,CONTRACTUAL SERVICES,7350.00,9/12/2023
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,1262.50,8/15/2023
"Christopher Glass Services, Inc",MAINTENANCE & REPAIRS,7323.80,9/5/2023
ANDERSON ELEVATOR CO.,MAINTENANCE & REPAIRS,434737.28,9/5/2023
"*ALVAREZ, INC.",MAINTENANCE & REPAIRS,3853.98,8/17/2023
STAPLES ADVANTAGE,DIRECT PURCHASES,482.99,8/17/2023
CONRAD WORRILL TRACK & FIELD CENTER,GENERAL EXPENSES,200.00,9/21/2023
JOHNSON CONTROLS FIRE PROTECTION LP,MAINTENANCE & REPAIRS,1367.00,11/16/2023
"THOMAS J. WALSH CONSULTING, LLC",CONTRACTUAL SERVICES,42000.00,11/9/2023
"MCCORKLE LITIGATION SERVICES, INC",GENERAL EXPENSES,751.25,11/16/2023
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,573645.18,11/24/2023
SIEVERT ELECTRIC SERVICE & SALES,MAINTENANCE & REPAIRS,5992.51,12/21/2023
PNC BANK,TRAVEL & MEETING EXPENSE,8568.39,11/15/2023
GENUINE PARTS COMPANY (NAPA),CONSULTING,152886.00,3/7/2023
CDM SMITH INC.,CONTRACTUAL SERVICES,19509.00,2/16/2023
GROUPE SHAREGATE INC.,MAINTENANCE & REPAIRS,8995.00,3/9/2023
LORCHEM TECHNOLOGIES INC,MAINTENANCE & REPAIRS,729.90,3/23/2023
ALBERT STRINGER,LEGAL COSTS,75.00,4/13/2023
MIDAMERICA ORTHOPEDICS SC,ADMINISTRATION & HR,750.00,5/4/2023
"ICE MILLER, LLP",LEGAL COSTS,3000.00,6/8/2023
"ALERE TOXICOLOGY SERVICES, INC.",ADMINISTRATION & HR,12573.16,6/29/2023
HOMETOWN POLICE DEPARTMENT,GENERAL EXPENSES,100.00,7/6/2023
"WISCO, INC.",DIRECT PURCHASES,175.34,8/3/2023
JOHNSON CONTROLS FIRE PROTECTION LP,MAINTENANCE & REPAIRS,13124.73,8/15/2023
"Christopher Glass Services, Inc",MAINTENANCE & REPAIRS,12063.68,3/30/2023
"MOBILE MINI, INC",EQUIPMENT RENTAL,1320.00,3/9/2023
METROPOLITAN WATER RECLAMATION.,EQUIPMENT RENTAL,101624.90,3/16/2023
"WISCO, INC.",DIRECT PURCHASES,202.84,9/7/2023
"COMET MESSENGER SERVICE, INC.",GENERAL EXPENSES,140.02,7/6/2023
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,872.50,8/3/2023
NOETIX CORPORATION,MAINTENANCE & REPAIRS,72100.00,3/16/2023
CHICAGO TRIBUNE CO.,ADVERTISING & PROMOTION,732.78,3/30/2023
"AMERESCO, INC.",CONSULTING,14730.00,3/30/2023
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50.00,4/20/2023
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,22.50,9/26/2023
DREA WATSON,CREDITS,50.00,10/5/2023
YOURMEMBERSHIP.COM INC,ADVERTISING & PROMOTION,399.00,12/14/2023
JOHNSON PIPE & SUPPLY CO.,DIRECT PURCHASES,5825.39,3/7/2023
YOURMEMBERSHIP.COM INC,ADVERTISING & PROMOTION,549.00,2/9/2023
"DQS, INC",CONTRACTUAL SERVICES,4350.00,3/16/2023
PITNEY BOWES GLOBAL MAILING SYSTEMS,MAINTENANCE & REPAIRS,264.60,4/6/2023
APPLIED INDUSTRIAL TECHNOLOGIES,DIRECT PURCHASES,10679.99,6/1/2023
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,50.00,6/8/2023
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,275.40,9/22/2023
CONSTRUCTION SPECIFICATIONS INSTITUTE,TRAVEL & MEETING EXPENSE,625.00,7/6/2023
ROYAL REPORTING SERVICES,LEGAL COSTS,331.80,8/10/2023
MIDWAY BROADCASTING CORP,ADVERTISING & PROMOTION,2500.00,1/12/2023
CDW GOVERNMENT LLC,DIRECT PURCHASES,204.00,5/2/2023
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,50.00,6/8/2023
"West Publishing Corporation d/b/a Thomson Reuters - West or West, a Thomson Reuters Business or Thomson West or West Group",GENERAL EXPENSES,1465.99,11/9/2023
LORCHEM TECHNOLOGIES INC,MAINTENANCE & REPAIRS,356.00,12/19/2023
G & O THERMAL SUPPLY COMPANY,DIRECT PURCHASES,2229.77,2/15/2023
BASEEMAH DEAR TOWNSEND,LEGAL COSTS,20.00,1/19/2023
ANCEL GLINK P.C.,LEGAL COSTS,35250.00,3/23/2023
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,50.00,10/19/2023
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,60.00,11/2/2023
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,50.00,11/30/2023
"JULIAN, BETLEY & ASSOCIATES",LEGAL COSTS,300.15,1/5/2023
HISPANIC ALLIANCE FOR CAREER ENHANCEMENT,ADVERTISING & PROMOTION,9150.00,2/16/2023
VILLAGE OF WILMETTE,UTILITIES EXPENSE,3964.59,2/23/2023
NACTO,GENERAL EXPENSES,15000.00,3/16/2023
TRESCAL INC,MAINTENANCE & REPAIRS,188.92,4/25/2023
AMERICAN CONTRACT COMPLIANCE ASSOC.,TRAVEL & MEETING EXPENSE,3300.00,7/20/2023
FEDEX,GENERAL EXPENSES,18.33,8/10/2023
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,40.00,8/31/2023
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,50.00,10/19/2023
AMBER WILLIAMS,LEGAL COSTS,150.00,11/9/2023
G.A.G. INDUSTRIES CORP.,MAINTENANCE & REPAIRS,57145.10,12/19/2023
CINTAS CORPORATION,CONTRACTUAL SERVICES,7752.74,5/11/2023
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,1575.00,1/24/2023
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,11934.25,1/19/2023
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,540.50,2/9/2023
"VERIZON WIRELESS, INC.",UTILITIES EXPENSE,66924.19,2/23/2023
STENSTROM PROTANIC LLC.,MAINTENANCE & REPAIRS,34820.00,3/16/2023
CHRIST TEMPLE MISSIONARY BAPTIST CHURCH,GENERAL EXPENSES,2250.00,3/23/2023
"WISCO, INC.",MAINTENANCE & REPAIRS,2901.48,3/30/2023
PNC BANK,ADVERTISING & PROMOTION,2856.52,3/20/2023
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,80.00,5/11/2023
GENUINE PARTS COMPANY (NAPA),ADVERTISING & PROMOTION,315.40,5/23/2023
"*ANDERSON & SHAH ROOFING, INC.",MAINTENANCE & REPAIRS,11098.15,6/6/2023
"COMET MESSENGER SERVICE, INC.",GENERAL EXPENSES,172.26,6/29/2023
"OER SERVICES, LLC",EQUIPMENT RENTAL,14707.32,6/22/2023
CITY OF CHICAGO DEPT.OF REVENUE-RED LIGHT,GENERAL EXPENSES,2955.00,6/29/2023
"WISCO, INC.",DIRECT PURCHASES,176.24,7/11/2023
ROSEMONT PUBLIC WORKS,UTILITIES EXPENSE,19.47,7/13/2023
LORCHEM TECHNOLOGIES INC,MAINTENANCE & REPAIRS,8496.49,9/7/2023
"IMPERIAL CRANE SERVICES, INC.",EQUIPMENT RENTAL,24990.00,9/26/2023
HOLISTIC SOLUTIONS LLC,CONSULTING,12000.00,10/12/2023
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,698.88,11/7/2023
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,1819.40,12/28/2023
"ALLIED WASTE TRANSPORTATION, INC. d/b/a REPUBLIC SERVICES OF CHICAGO",MAINTENANCE & REPAIRS,94423.80,12/21/2023
Martinez Retail Management d/b/a All Window Cleaning Services,MAINTENANCE & REPAIRS,67510.00,12/21/2023
GENUINE PARTS COMPANY (NAPA),CONTRACTUAL SERVICES,9567.10,2/9/2023
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,317.35,3/14/2023
US BANK,FINANCIAL & TREAS SVCS,5000.00,5/11/2023
"IMPERIAL CRANE SERVICES, INC.",EQUIPMENT RENTAL,10925.00,6/1/2023
"PRECISION ELEVATOR PRODUCTS, INC.",MAINTENANCE & REPAIRS,13650.00,6/1/2023
IMANAGE LLC,MAINTENANCE & REPAIRS,14450.00,6/15/2023
*FALK ASSOCIATES,GENERAL EXPENSES,2568.41,8/1/2023
89TH ST PROPERTIES LLC,FACILITY RENTAL,32616.00,9/5/2023
GENUINE PARTS COMPANY (NAPA),ADVERTISING & PROMOTION,2711.65,11/28/2023
CDW GOVERNMENT LLC,TECHNOLOGY SERVICES,62099.80,12/21/2023
*MOBILE HEALTH & TESTING SERVICES,ADMINISTRATION & HR,40930.00,2/2/2023
JAMIL SALMAN,GENERAL EXPENSES,1500.00,3/9/2023
"MONTERREY SECURITY CONSULTANT, INC.",PURCHASE OF SECURITY SERVICES,813287.84,5/26/2023
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,50.00,11/30/2023
FEDEX,GENERAL EXPENSES,37.29,12/14/2023
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,1372.28,3/23/2023
CITY OF CHICAGO-DEPT OF FLEET AND FACILITY  MGMT,MAINTENANCE & REPAIRS,166750.68,5/25/2023
"KATHLENE S HANHARDT, CSR",LEGAL COSTS,244.00,6/22/2023
STENSTROM PROTANIC LLC.,MAINTENANCE & REPAIRS,1449.97,8/1/2023
"JONES LANG LaSALLE, INCORPORATED",MAINTENANCE & REPAIRS,162796.89,8/15/2023
LORCHEM TECHNOLOGIES INC,MAINTENANCE & REPAIRS,446.17,8/17/2023
MEDIAAGILITY INC,TECHNOLOGY SERVICES,2826.23,9/7/2023
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50.00,8/31/2023
AMERICAN PUBLIC TRANSPORTATION ASSOCIATION,TRAVEL & MEETING EXPENSE,975.00,9/28/2023
"GARTNER, INCORPORATED",CONTRACTUAL SERVICES,39091.00,11/7/2023
VILLAGE OF WILMETTE,UTILITIES EXPENSE,4264.89,11/22/2023
PACE SUBURBAN BUS SERVICE,DIRECT PURCHASES,24662.00,12/14/2023
VILLAGE OF SKOKIE.,UTILITIES EXPENSE,1624.34,12/14/2023
"MCCORKLE LITIGATION SERVICES, INC",GENERAL EXPENSES,383.05,3/9/2023
"*ZANN & Associates, Inc.",CONSULTING,50015.87,3/30/2023
ABACUS SERVICE CORPORATION,CONTRACTUAL SERVICES,3808.00,4/6/2023
"MOBILE MINI, INC",EQUIPMENT RENTAL,825.00,4/6/2023
VINCENT RESTIVO,LEGAL COSTS,75.00,4/27/2023
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50.00,5/25/2023
PLANET DEPOS LLC,LEGAL COSTS,450.00,7/13/2023
"*MOTR GRAFX, LLC",DIRECT PURCHASES,1030.00,10/5/2023
*Freddies Inc,GENERAL EXPENSES,840.70,10/5/2023
"ACTION K-9 SECURITY, INC.",PURCHASE OF SECURITY SERVICES,1040773.62,11/30/2023
HERC RENTALS INC.,CONTRACTUAL SERVICES,1642.00,12/21/2023
AMALGAMATED BANK OF CHICAGO,FINANCIAL & TREAS SVCS,759.37,4/6/2023
"*STEINER SECURITY SERVICES, INC",PURCHASE OF SECURITY SERVICES,222894.68,5/4/2023
STEVEN M BIERIG,LEGAL COSTS,900.00,6/8/2023
LATHROP GAGE LLP,LEGAL COSTS,89.00,7/6/2023
FEDEX,GENERAL EXPENSES,12.96,7/27/2023
AMALGAMATED BANK OF CHICAGO.,FINANCIAL & TREAS SVCS,10000.00,8/10/2023
BRE RIVER NORTH POINT OWNER LLC,FACILITY RENTAL,61066.36,3/23/2023
ZULKIE PARTNERS LLC,CONTRACTUAL SERVICES,4095.00,4/27/2023
JOHNSON CONTROLS FIRE PROTECTION LP,MAINTENANCE & REPAIRS,1150.00,7/11/2023
"MOBILE MINI, INC",EQUIPMENT RENTAL,330.00,7/20/2023
GRE-GOCO ORRINGTON OWNER LLC,EQUIPMENT RENTAL,1103.00,8/4/2023
"MOBILE MINI, INC",EQUIPMENT RENTAL,330.00,11/22/2023
"JONES ENVIRONMENTAL CONTROL, INC.",MAINTENANCE & REPAIRS,1540.00,1/3/2023
NORTHWESTERN UNIVERSITY CENTER FOR PUBLIC SAFETY,TRAVEL & MEETING EXPENSE,259.00,3/2/2023
TEXTNET DIGITAL COURT REPORTING,LEGAL COSTS,801.90,9/14/2023
GENUINE PARTS COMPANY (NAPA),DIRECT PURCHASES,64887.80,3/2/2023
"GREENLINE ENVIRONMENTAL SOLUTIONS, LLC",MAINTENANCE & REPAIRS,9097.00,1/10/2023
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,2611.90,2/23/2023
"AT&T MOBILITY NATIONAL ACCOUNTS, LLC",UTILITIES EXPENSE,48272.39,1/26/2023
GENUINE PARTS COMPANY (NAPA),CONTRACTUAL SERVICES,2574.12,6/29/2023
"*ATLAS & ASSOCIATES, INC.",MAINTENANCE & REPAIRS,11629.80,5/2/2023
"OER SERVICES, LLC",EQUIPMENT RENTAL,1792.00,5/2/2023
G & O THERMAL SUPPLY COMPANY,DIRECT PURCHASES,189.06,5/10/2023
Einstein Graphic Services,ADVERTISING & PROMOTION,2402.00,4/20/2023
*Freddies Inc,CONTRACTUAL SERVICES,474.00,5/25/2023
RCE Equipment Solutions Inc,DIRECT PURCHASES,1268.56,6/1/2023
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,681781.37,6/6/2023
*Freddies Inc,TRAVEL & MEETING EXPENSE,1460.00,6/23/2023
"GENFARE, LLC",MAINTENANCE & REPAIRS,47541.63,7/13/2023
"MANSFIELD OIL COMPANY OF GAINESVILLE, INC.",FUEL EXPENSE,364252.19,7/20/2023
"Christopher Glass Services, Inc",MAINTENANCE & REPAIRS,9369.68,8/17/2023
ORR SAFETY CORPORATION,MAINTENANCE & REPAIRS,6235.32,8/15/2023
"*THE BLUEPRINT SHOPPE, INC.",CONTRACTUAL SERVICES,1554.98,8/21/2023
STENSTROM PROTANIC LLC.,MAINTENANCE & REPAIRS,236.86,11/16/2023
*CONSOLIDATED PRINTING,EQUIPMENT RENTAL,878.00,8/31/2023
*J.P. SIMONS & COMPANY,MAINTENANCE & REPAIRS,91.47,11/9/2023
HOMETOWN POLICE DEPARTMENT,GENERAL EXPENSES,4700.00,9/14/2023
TAB SERVICE COMPANY,GENERAL EXPENSES,2957.97,9/21/2023
VTECH SOLUTION INC,CONTRACTUAL SERVICES,3434.76,10/3/2023
PNC BANK,MAINTENANCE & REPAIRS,2294.97,10/16/2023
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,612.70,11/16/2023
SIEVERT ELECTRIC SERVICE & SALES,MAINTENANCE & REPAIRS,15951.35,12/28/2023
COMTO NATIONAL HEADQUARTERS,GENERAL EXPENSES,125.00,1/31/2023
CUMMINS INC.,MAINTENANCE & REPAIRS,610.80,2/28/2023
TOWN OF CICERO,UTILITIES EXPENSE,7264.40,3/9/2023
"JONES LANG LaSALLE, INCORPORATED",MAINTENANCE & REPAIRS,398433.61,6/13/2023
*J.P. SIMONS & COMPANY,DIRECT PURCHASES,2537.92,9/28/2023
JOHNSON CONTROLS FIRE PROTECTION LP,MAINTENANCE & REPAIRS,19209.00,9/28/2023
"Christopher Glass Services, Inc",MAINTENANCE & REPAIRS,24336.30,9/21/2023
"Christopher Glass Services, Inc",MAINTENANCE & REPAIRS,13870.50,11/14/2023
AMERICAN TOWERS LLC,EQUIPMENT RENTAL,4909.82,10/26/2023
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,4803.92,10/24/2023
CDM SMITH INC.,CONTRACTUAL SERVICES,7743.75,11/7/2023
IAP CONSTRUCTION INC.,CONTRACTUAL SERVICES,1818.60,12/12/2023
ARUNA GANJU M.D.,ADMINISTRATION & HR,187.50,11/22/2023
PNC BANK,GENERAL EXPENSES,700.00,12/19/2023
*MOORE SECURITY INC.,PURCHASE OF SECURITY SERVICES,7456.42,3/30/2023
"ATLAS FIRST ACCESS MATERIAL HANDLING, INC.",MAINTENANCE & REPAIRS,1332.28,3/21/2023
LCPTRACKER INC,TRAVEL & MEETING EXPENSE,2929.95,4/27/2023
US BANK,FINANCIAL & TREAS SVCS,5500.00,5/18/2023
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,50.00,9/14/2023
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,3097.00,9/28/2023
"CUBIC TRANSPORTATION SYSTEMS, INC.",DIRECT PURCHASES,295534.96,10/10/2023
"DQS, INC",CONTRACTUAL SERVICES,9787.50,11/9/2023
"BUCHANAN REPORTING, INC",LEGAL COSTS,276.00,12/21/2023
LESTER & ROSALIE ANIXTER CENTER,GENERAL EXPENSES,148.00,4/6/2023
*Freddies Inc,TRAVEL & MEETING EXPENSE,4470.10,8/31/2023
TAMIKA PRESS,CONTRACTUAL SERVICES,3000.00,9/19/2023
UTILITY TRANSPORT SERVICE,DIRECT PURCHASES,13508.17,10/12/2023
"MARCO SUPPLY CO., INC.",DIRECT PURCHASES,12340.64,12/19/2023
*HARTMAN PUBLISHING GROUP LTD / N'DIGO,TRAVEL & MEETING EXPENSE,2000.00,11/9/2023
"COMET MESSENGER SERVICE, INC.",GENERAL EXPENSES,197.87,11/16/2023
"*MOTR GRAFX, LLC",ADVERTISING & PROMOTION,8088.00,11/16/2023
"JONES LANG LaSALLE, INCORPORATED",CONSULTING,42763.79,1/26/2023
JOHNSON CONTROLS FIRE PROTECTION LP,MAINTENANCE & REPAIRS,7778.00,1/31/2023
"SVANACO, INC.",TECHNOLOGY SERVICES,55950.00,2/21/2023
Wensco,ADVERTISING & PROMOTION,6229.03,3/16/2023
CUMMINS INC.,MAINTENANCE & REPAIRS,305.40,3/9/2023
BONAVENTURE MEDICAL FOUNDATION LLC,ADMINISTRATION & HR,1000.00,3/16/2023
MP2 ENERGY NE LLC,UTILITIES EXPENSE,143166.96,4/4/2023
GENUINE PARTS COMPANY (NAPA),ADVERTISING & PROMOTION,104.99,6/15/2023
BRE RIVER NORTH POINT OWNER LLC,FACILITY RENTAL,15788.33,8/3/2023
STEVEN M MARDJETKO MD,ADMINISTRATION & HR,600.00,8/31/2023
ROBERT KIELBA,LEGAL COSTS,75.00,9/21/2023
LEXIS NEXIS CO.,CONTRACTUAL SERVICES,6583.33,9/28/2023
AURIGA CORPORATION,CONSULTING,50382.79,9/28/2023
Wensco,ADVERTISING & PROMOTION,170.00,10/26/2023
ANCEL GLINK P.C.,LEGAL COSTS,2725.00,10/12/2023
"LUMINATOR TECHNOLOGY GROUP GLOBAL, LLC dba LUMINATOR TECHNOLOGY GROUP",MAINTENANCE & REPAIRS,27125.00,11/24/2023
COMTO NATIONAL HEADQUARTERS,GENERAL EXPENSES,125.00,1/26/2023
ILLINOIS SECRETARY OF STATE,CONTRACTUAL SERVICES,50.00,3/16/2023
CHICAGO URBAN LEAGUE,ADVERTISING & PROMOTION,500.00,5/11/2023
COOK COUNTY SHERIFF DEPARTMENT,LEGAL COSTS,80.00,7/13/2023
CROWNE PLAZA DOWNTOWN MEMPHIS,TRAVEL & MEETING EXPENSE,2359.20,7/20/2023
CHICAGO NEWS WEEKLY LLC,ADVERTISING & PROMOTION,3000.00,8/22/2023
SIEVERT ELECTRIC SERVICE & SALES,MAINTENANCE & REPAIRS,15688.00,10/19/2023
ZULKIE PARTNERS LLC,LEGAL COSTS,500.00,10/31/2023
LEDET,TRAVEL & MEETING EXPENSE,1299.00,1/19/2023
"PREMIER FALL PROTECTION, INC.",MAINTENANCE & REPAIRS,2998.00,1/26/2023
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,2934.00,2/23/2023
VILLAGE OF ROSEMONT,UTILITIES EXPENSE,17.70,5/4/2023
"MCCORKLE LITIGATION SERVICES, INC",LEGAL COSTS,160.00,6/6/2023
"*MOTR GRAFX, LLC",GENERAL EXPENSES,1932.00,8/10/2023
TAFT STETTINIUS & HOLLISTER LLP,LEGAL COSTS,29.50,9/28/2023
CITY OF EVANSTON,UTILITIES EXPENSE,829.24,12/14/2023
NATIONAL FIRE PROTECTION ASSOC.,GENERAL EXPENSES,1552.50,3/16/2023
"GUARDIAN INDUSTRIAL SUPPLY, LLC",DIRECT PURCHASES,179.70,5/18/2023
"DALEY MOHAN GROBLE, P.C.",LEGAL COSTS,2419.00,3/23/2023
ILLINOIS SECRETARY OF STATE,GENERAL EXPENSES,50.00,4/20/2023
LEXITAS,LEGAL COSTS,347.46,5/18/2023
G.A.G. INDUSTRIES CORP.,MAINTENANCE & REPAIRS,56116.06,6/15/2023
"*MOTR GRAFX, LLC",GENERAL EXPENSES,780.00,7/3/2023
"*ANCHOR STAFFING, INC.",GENERAL EXPENSES,1577.48,7/20/2023
AMERICAN RAILWAY ENGINEERING AND MAINTENANCE OF WAY ASSOCIATION,GENERAL EXPENSES,100.00,8/1/2023
"SVANACO, INC.",TECHNOLOGY SERVICES,37375.00,12/21/2023
BUSH INFOTECH GROUP INC,ADVERTISING & PROMOTION,2000.00,12/21/2023
"GUARDIAN INDUSTRIAL SUPPLY, LLC",DIRECT PURCHASES,5291.50,2/16/2023
"TEXTMARKS, INC.",CONTRACTUAL SERVICES,16212.49,2/9/2023
STAPLES ADVANTAGE,DIRECT PURCHASES,164.79,1/24/2023
KONE SPARES,DIRECT PURCHASES,9726.04,2/21/2023
"THOMPSON COBURN, LLC",LEGAL COSTS,19738.59,2/9/2023
"T-MOBILE USA, INC.",UTILITIES EXPENSE,34710.85,3/21/2023
*WAN Tech Inc,CONTRACTUAL SERVICES,782.72,3/9/2023
"MYTHICS, INC.",MAINTENANCE & REPAIRS,673.75,3/16/2023
"ALLIED WASTE TRANSPORTATION, INC. d/b/a REPUBLIC SERVICES OF CHICAGO",MAINTENANCE & REPAIRS,92170.45,5/30/2023
"DALEY MOHAN GROBLE, P.C.",LEGAL COSTS,4125.00,5/25/2023
"Christopher Glass Services, Inc",MAINTENANCE & REPAIRS,6091.92,7/13/2023
"Christopher Glass Services, Inc",MAINTENANCE & REPAIRS,12116.38,7/20/2023
PNC BANK,UTILITIES EXPENSE,284.75,6/16/2023
"WISCO, INC.",DIRECT PURCHASES,304.36,9/21/2023
*SOUTH SUBURBAN PEST CONTROL,MAINTENANCE & REPAIRS,15484.20,8/15/2023
PAUL STRAUSS,GENERAL EXPENSES,280085.16,9/21/2023
"IMPERIAL CRANE SERVICES, INC.",EQUIPMENT RENTAL,34306.80,10/17/2023
DAVIS BANCORP,FINANCIAL & TREAS SVCS,81576.54,10/19/2023
